Ukraine,UKR,3751.74072265625
Upper middle income,UMC,9166.46085400957
Uruguay,URY,15418.8153089096
United States,USA,63027.6795267153
Uzbekistan,UZB,1749.65581532206
St. Vincent and the Grenadines,VCT,7860.82135437107
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,39552.1685953523
Vietnam,VNM,3526.27457939624
Vanuatu,VUT,2919.83679998348
World,WLD,10936.0574657438
Samoa,WSM,4068.07886505264
Kosovo,XKX,4310.81118337317
"Yemen, Rep.",YEM,631.681490044125
South Africa,ZAF,5655.86765390396
Zambia,ZMB,985.132436038869
Zimbabwe,ZWE,1214.50982023534
